Frase;Classifier
SP revisou dados e agora registra apenas 26 mortes por Covid-19;fake
Enquanto a Anvisa/FDA analisam a eficácia e segurança, médicos já estão usando a HIDROXICLOROQUINA e liquidando o vírus nos pacientes graves;fake
Hidroxicloroquina + Azitromicina e temos apenas uma gripezinha. Em pouco tempo todos os contaminados que tiverem evolução no quadro serão medicados;fake
Trump acaba de anunciar que a FDA,equivalente a Anvisa de lá, aprovou,o uso do remédio para malária Sulfato de Hidroxicloroquina no tratamento de pessoas acometidas do coronavírus  ;fake
China criou coronavírus para obter vantagens econômicas;fake
Morte por atropelamento em SP foi registrada como Covid-19;fake
EUA prenderam o doutor que vendeu o coronavírus para a China;fake
Pneu estoura e mata o primo do porteiro, mas atestado de óbito é de coronavírus  ;fake
A gripe suína foi muito mais fatal do que o novo coronavírus;fake
Artigo do New York Times mostrou que Bolsonaro está certo sobre o Coronavírus;fake
Exército fez 2 mil leitos para pacientes de Covid-19 em 48h;fake
Doria proibiu cloroquina nos hospitais de São Paulo;fake
Luciano Hang, Roberto Justus e Eduardo Costa doaram 90 respiradores e R$ 4 milhões ao SUS;fake
Chá de limão com bicarbonato quente cura coronavírus;fake
Beber muita água e fazer gargarejo com água morna, sal e vinagre previne coronavírus;fake
China chega a seu primeiro dia sem mortos desde janeiro                                                                                           ;verdadeiro
África tem quase 500 mortes e 50 países sem testes                                                                                                                                           ;verdadeiro
Relatório assinado por Mandetta e cientistas prevê aumento de casos da Covid-19                                                                                                           ;verdadeiro
Mais de 80 casos de infecção por coronavírus em um cruzeiro australiano                                                                                                         ;verdadeiro
Diretor da OMS descarta testes de vacina contra o coronavírus em países da África                                                                                                                    ;verdadeiro
João Doria prorroga quarentena em São Paulo contra a Covid-19 até 22 de abril e diz que PM poderá agir                                                                                            ;verdadeiro
Taxa de mortalidade por coronavírus no Brasil é de 4,6%                                                                                                 ;verdadeiro
Primeiro-ministro Boris Johnson é levado para UTI por coronavírus                                                                                                       ;verdadeiro
Casal de 88 anos superou junto o coronavírus                                                                        ;verdadeiro
Em jovens coronavírus causa perda de capacidade pulmonar                                                                                                           ;verdadeiro
Cuba tem 350 infectados e nove mortos pelo coronavírus                                                                                                                 ;verdadeiro
Chefe da urgência clínica da Unifesp morre de coronavírus                                                                                                          ;verdadeiro
Associação Paulista de Medicina exalta trabalho do ministro da Saúde                                                                                                                ;verdadeiro
Coronavírus é uma invenção da China;fake
O coronavírus causa apenas uma gripezinha;fake
Israel teve ‘melhor situação do mundo’ contra Covid-19 isolando apenas idosos;fake
General Augusto Heleno curou-se da Covid-19 com cloroquina;fake
Covid-19 é o nome da doença causada pelo novo coronavírus;verdadeiro
Vacina cura Covid-19 em apenas três horas ;fake
Vacina para cachorros tem relação com o vírus que causa Covid-19;fake
Água fervida com alho cura o novo coronavírus;fake
Vitamina C e água quente com limão previne contra o novo coronavírus;fake
Governo de SP aumenta artificialmente casos de coronavírus;fake
João Dória divulga casos de outras doenças como sendo do novo coronavírus;fake
Dória está mentindo sobre novos casos de Covid-19;fake
Bill Gates, co-fundador da Microsoft, é dono da patente do coronavirus registrada em 2015 e concedida em 2018;fake
O contato muito próximo, a menos de dois mestros pode levar à contaminação com coronavírus;verdadeiro
Pessoas com sintomas, como tosse seca, devem usar máscaras para diminuir probabilidade de espalhar o vírus;verdadeiro
Países que adotaram o isolamento vertical tiveram menos casos de coronavírus;fake
A H1N1 foi mais letal que a Covid-19;fake
Lavar bem as mãos, por mais de 20 segundos, é a melhor proteção contra o coronavírus;verdadeiro
Evite tocar o rosto para evitar a contaminação com coronavirus;verdadeiro
O vírus se propaga em nuvens pelo ar;fake
A China escondeu casos de coronavírus;fake
